K Inj Por b CHD Ext DSP REN_1_1  REN_1_2 REN_2_1 REN_2_2 REN_3_1 REN_3_2 REN_4_1 REN_4_2
0.001296 1.29061 0.491917 401.769 1002.32 1.98247 48.8288 0.348019 0.596684 0.7571 0.855071 0.913514 0.948125 0.968645 0.980876
0.0016 3.36669 0.371956 390.688 1117.26 4.21092 45.7703 0.000349855 0.00104277 0.00201946 0.00319715 0.00451778 0.00595311 0.0074579 0.00899805
0.001044 1.60374 0.482339 212.081 1131.62 2.89644 11.3299 0.0250053 0.0587657 0.0965198 0.135827 0.175429 0.214523 0.252654 0.289239
0.001832 1.92571 0.396161 405.143 1108.45 4.94014 17.168 0.000137402 0.000486955 0.00103934 0.00178806 0.00270351 0.00375753 0.00492937 0.00618953
0.000611 1.081 0.413165 336.724 1105.31 3.08461 45.1824 0.135779 0.262354 0.376494 0.476152 0.561188 0.633225 0.693879 0.744741
0.002027 2.88093 0.42022 290.439 1005.26 3.39599 38.7729 0.287508 0.535225 0.71553 0.833007 0.904378 0.946233 0.970117 0.983522
0.001939 0.87766 0.236773 137.86 1085.96 1.26497 49.637 7.22825e-06 2.67529e-05 5.81236e-05 0.000100499 0.000151477 0.00020928 0.000272072 0.000337688
0.002256 0.737947 0.343541 196.517 1069.54 1.3545 46.1019 0.000140766 0.000404987 0.000757021 0.00117011 0.00163197 0.00212723 0.00263879 0.00315887
0.002315 2.81304 0.394913 367.457 1122.48 7.07546 40.5246 2.73267e-06 1.28247e-05 3.32083e-05 6.51089e-05 0.000108628 0.000162722 0.000226427 0.000297505
0.001239 1.34654 0.315385 176.918 1010.43 1.45742 38.8091 0.260951 0.484851 0.654908 0.774282 0.85498 0.907938 0.941974 0.963594
0.001035 0.901578 0.374459 270.519 1061.83 2.03002 17.6168 0.0964891 0.190263 0.278969 0.360509 0.433854 0.499365 0.557666 0.609402
0.002608 0.95222 0.312445 282.744 1022.11 2.02147 48.616 0.0933572 0.184748 0.271628 0.352018 0.424852 0.490328 0.548865 0.600983
0.001389 0.683854 0.2017 464.832 1012.58 1.99125 28.8765 0.335959 0.548258 0.692607 0.791428 0.85819 0.903323 0.933996 0.954876
0.001 3.85617 0.444155 456.231 1139.07 4.51857 27.54 0.0122485 0.0281031 0.0457881 0.0642623 0.0830464 0.101858 0.120464 0.138624
0.001916 2.30624 0.334105 215.558 1082.53 3.09231 18.8995 0.00283085 0.00839531 0.0160291 0.0252129 0.0354175 0.0462992 0.0576184 0.0691979
0.000886 2.54879 0.35371 360.406 1138.89 5.41803 24.1332 0.0169983 0.0456264 0.080762 0.119448 0.15987 0.200496 0.240437 0.27935
0.001917 2.93784 0.38561 380.539 1029.59 6.14397 20.3889 0.264624 0.447248 0.58754 0.695621 0.777665 0.838986 0.884207 0.917149
0.000968 1.32775 0.449393 286.782 1021.89 1.48862 30.018 0.239938 0.427312 0.569232 0.675509 0.755521 0.815667 0.860892 0.894841
0.002273 1.4861 0.480836 191.9 1056.22 4.1691 36.5801 0.0678007 0.15505 0.245846 0.333537 0.415128 0.489627 0.55646 0.615358
0.000681 1.09062 0.344444 327.464 1011.92 3.20191 44.174 0.577811 0.841954 0.941287 0.978071 0.99179 0.996972 0.998967 0.999759
0.00238 0.925258 0.222573 250.025 1071.44 2.00806 44.2417 2.64691e-07 9.68323e-07 2.12195e-06 3.65847e-06 5.49813e-06 7.49603e-06 9.57607e-06 1.16976e-05
0.001357 2.55055 0.456523 368.801 1081.28 3.32653 49.5102 0.0357336 0.0740643 0.112968 0.1514 0.188604 0.224314 0.258509 0.291046
0.002073 1.62555 0.492913 197.411 1144.51 4.3399 15.4957 3.00847e-05 0.000133919 0.000333152 0.000634657 0.00103872 0.00153688 0.00211487 0.00276527
0.000691 0.525985 0.445569 133.739 1122.29 1.29661 39.0448 0.0791081 0.163058 0.245777 0.323679 0.395269 0.460329 0.519027 0.571823
0.001048 0.669724 0.134877 227.066 1101.32 1.62465 19.0075 5.99306e-07 2.87651e-06 7.55563e-06 1.49877e-05 2.51442e-05 3.78473e-05 5.26664e-05 6.90727e-05
0.000637 2.39708 0.306336 327.889 1001.78 4.60434 34.5883 0.459972 0.773278 0.91795 0.972631 0.991422 0.997626 0.999646 1.00031
0.002689 1.19497 0.483425 166.62 1091.53 1.23369 32.8379 3.44793e-05 8.57471e-05 0.000142913 0.000201805 0.000260381 0.000317087 0.000371529 0.000423271
0.001826 1.96606 0.372447 429.889 1030.6 5.00885 36.5303 0.209304 0.373498 0.50805 0.616964 0.703792 0.771912 0.824901 0.865896
0.001219 2.41251 0.190287 458.867 1074.96 2.87284 23.8687 0.00118135 0.00340668 0.0064376 0.0100803 0.014132 0.0184498 0.0229537 0.0275714
0.001731 2.81894 0.222683 395.632 1133.83 3.3492 32.8032 9.96072e-10 3.11632e-09 5.94099e-09 9.08755e-09 1.21443e-08 1.50506e-08 1.77413e-08 2.01876e-08
0.00195 1.51019 0.343773 156.843 1052.02 2.10077 29.9528 0.0492883 0.103899 0.15897 0.212526 0.263587 0.311887 0.357291 0.399873
0.0023 3.77618 0.324429 400.408 1074.64 6.21692 24.7981 0.000821392 0.00289841 0.00619566 0.0105243 0.0157093 0.0215734 0.0279012 0.0345924
0.000774 1.33325 0.16722 321.616 1095.98 2.45019 20.0625 0.00437681 0.0133698 0.0259565 0.0412061 0.0582014 0.0763826 0.0953368 0.114704
0.00134 2.49655 0.442725 206.093 1056.16 4.74618 41.2803 0.247734 0.420518 0.556349 0.66448 0.749477 0.815015 0.864682 0.901554
0.002067 1.03887 0.252127 217.303 1067.85 2.14537 20.2018 0.000109508 0.000422345 0.000949199 0.00168666 0.00260823 0.00368854 0.00490727 0.0062279
0.002435 1.6476 0.440862 138.503 1050.46 1.67723 23.7507 0.0416602 0.083819 0.125097 0.164878 0.202865 0.238845 0.272896 0.305106
0.000708 0.726167 0.356872 306.336 1114.94 1.08924 43.5795 0.0110468 0.0240851 0.0380916 0.0524502 0.0668693 0.0812066 0.0953226 0.109084
0.000935 0.88833 0.100012 432.01 1112.41 1.52783 48.134 2.11468e-10 6.34536e-10 1.17969e-09 1.75236e-09 2.29159e-09 2.79234e-09 3.24901e-09 3.65008e-09
0.001576 2.07713 0.260247 156.959 1118.66 3.37524 9.4562 0.000208868 0.000983442 0.00248038 0.00474181 0.00770119 0.0112829 0.0153955 0.019943
0.001343 3.28532 0.460352 308.265 1037.45 8.04955 23.7288 0.409015 0.648801 0.796866 0.885979 0.937426 0.966209 0.982062 0.990652
0.000598 3.44042 0.286346 324.979 1059.88 5.57056 22.5463 0.319873 0.533765 0.683568 0.789589 0.863068 0.912611 0.945192 0.966246
0.001911 2.79998 0.328295 459.198 1078.93 7.45371 8.26763 0.00218636 0.00792809 0.0171011 0.0291632 0.0436257 0.0598586 0.0772775 0.0956039
0.001971 1.98002 0.195372 389.152 1017.66 5.15498 37.1625 0.298852 0.503164 0.656147 0.767979 0.846716 0.9004 0.935967 0.95934
0.000601 3.32753 0.411691 403.376 1098.41 8.14715 26.1053 0.306588 0.510322 0.659888 0.767964 0.844045 0.89651 0.932005 0.955756
0.002193 0.708851 0.10606 192.273 1085.46 0.993392 24.3786 1.18403e-16 2.87981e-16 4.37593e-16 5.51217e-16 6.36625e-16 6.98075e-16 7.40027e-16 7.69254e-16
0.002392 1.51951 0.167316 456.585 1024.52 3.1732 31.4083 0.0173065 0.0458366 0.0805533 0.118621 0.158304 0.198201 0.237377 0.275518
0.000844 3.53931 0.437423 290.379 1064.85 7.05814 15.8424 0.343577 0.561522 0.711279 0.814256 0.882836 0.927354 0.95564 0.97331
0.001582 3.98664 0.364026 364.014 1045.17 7.56357 34.4806 0.21655 0.375381 0.505158 0.612315 0.699683 0.769442 0.824501 0.867454
0.001391 3.63124 0.265028 416.433 1090.95 5.6991 32.7975 0.00454553 0.0137864 0.0265298 0.0418124 0.0587034 0.0765936 0.0950877 0.11388
0.002373 3.39786 0.411574 316.664 1057.15 8.34235 43.4209 0.0555145 0.132574 0.21486 0.295884 0.372699 0.444196 0.509575 0.568395
0.001297 1.22968 0.45585 159.432 1059.2 2.75376 18.3095 0.203074 0.360874 0.491487 0.598959 0.686115 0.75583 0.810942 0.854022
0.001312 0.56853 0.166598 118.001 1145.45 0.599876 22.805 5.0617e-11 1.24913e-10 2.01903e-10 2.70589e-10 3.26535e-10 3.72412e-10 4.09905e-10 4.4017e-10
0.002657 2.89944 0.467817 304.218 1101.72 3.84075 5.43954 3.59977e-05 0.000112464 0.000219476 0.000349473 0.000497335 0.000655683 0.000819855 0.000987339
0.000534 2.7036 0.270604 460.831 1109.96 6.53687 8.65716 0.166242 0.312436 0.440138 0.549177 0.640412 0.715451 0.776355 0.825308
0.00181 2.443 0.498413 408.179 1121.84 6.09285 15.7309 0.00058026 0.00192364 0.003979 0.00662644 0.00980291 0.0133851 0.0172846 0.0214444
0.00225 3.71076 0.196213 406.996 1149.39 4.15986 43.0092 8.85463e-16 2.33865e-15 3.78144e-15 4.95931e-15 5.90757e-15 6.63229e-15 7.15738e-15 7.54441e-15
0.001931 2.61671 0.452752 485.951 1066.16 7.61461 19.1046 0.0284277 0.0731914 0.125953 0.182279 0.239453 0.295189 0.348475 0.398951
0.001105 0.932587 0.232062 116.175 1005.45 1.20117 11.8997 0.316722 0.589929 0.77808 0.887954 0.946082 0.974941 0.98869 0.995075
0.001989 1.34943 0.309852 374.373 1125.99 1.36143 23.9894 4.32952e-09 8.02548e-09 1.05913e-08 1.24882e-08 1.38675e-08 1.4851e-08 1.55443e-08 1.60318e-08
0.002416 3.82921 0.405822 482.272 1011.09 9.27163 41.2416 0.476796 0.741398 0.876291 0.942012 0.97328 0.987779 0.994489 0.997582
0.001525 0.568024 0.280388 245.616 1057.62 1.48892 48.3989 0.00483811 0.0134971 0.0249687 0.0384709 0.0532812 0.0688977 0.0850515 0.101533
0.001174 1.90248 0.268261 339.995 1146.27 5.32231 7.31021 5.2493e-05 0.000263691 0.000704077 0.00140623 0.00238659 0.00362889 0.00511042 0.00681014
0.000966 0.520298 0.466231 226.882 1072.12 0.856806 34.816 0.0493859 0.0961802 0.141356 0.184517 0.22542 0.263837 0.299712 0.333283
0.001295 1.19182 0.36887 286.112 1037.42 1.89811 40.4052 0.160698 0.285081 0.389141 0.47802 0.554204 0.619478 0.675347 0.723
0.001302 0.637725 0.494359 235.945 1071.53 1.64634 34.4481 0.0385016 0.0845658 0.133492 0.182412 0.230213 0.276267 0.320145 0.36138
0.001284 3.93476 0.326466 304.104 1026.9 7.82671 25.7645 0.410166 0.664689 0.817201 0.904897 0.952421 0.977027 0.989317 0.995299
0.001568 3.21883 0.259378 485.774 1133.49 4.34365 31.7612 3.00538e-07 9.87091e-07 1.9761e-06 3.18697e-06 4.5298e-06 5.92968e-06 7.30895e-06 8.64716e-06
0.001598 2.10497 0.432391 162.472 1114.19 4.71336 16.5741 0.0155059 0.0458 0.0849523 0.129001 0.175194 0.221545 0.26725 0.3117
0.001608 1.29312 0.405303 52.1158 1018.2 1.62817 48.1512 0.307304 0.56567 0.746639 0.860255 0.926203 0.962505 0.98164 0.991354
0.001538 2.22143 0.17047 359.198 1102.44 3.89924 34.0942 2.07296e-07 1.04438e-06 2.79822e-06 5.59974e-06 9.41828e-06 1.41743e-05 1.96824e-05 2.57314e-05
0.001293 1.64033 0.152987 402.066 1075.7 3.70686 41.524 7.74848e-05 0.000375146 0.000972844 0.00190093 0.00316013 0.00473758 0.00658705 0.00867493
0.002662 2.36627 0.322203 255.936 1086.78 5.24892 43.9535 1.86497e-05 9.62288e-05 0.000261397 0.000528689 0.000905949 0.00138644 0.00196336 0.00262781
0.001291 2.2066 0.346399 249.392 1065.25 5.76291 34.9454 0.167675 0.320505 0.454426 0.568233 0.662511 0.738977 0.799874 0.847815
0.002604 2.57193 0.43851 233.678 1023.84 7.56937 41.0468 0.404954 0.643846 0.795806 0.887166 0.939481 0.968296 0.983747 0.991855
0.002356 0.758895 0.3306 477.899 1019.26 1.72028 35.1006 0.085841 0.166236 0.241759 0.31143 0.374857 0.431971 0.483499 0.530046
0.001148 2.90629 0.442094 486.088 1001.19 8.38833 13.5286 0.617593 0.889328 0.97053 0.992294 0.998062 0.999635 1.00007 1.00021
0.001589 2.33624 0.192272 366.098 1048.63 5.5157 31.9371 0.0309272 0.0839676 0.146382 0.211717 0.276777 0.339467 0.398524 0.453886
0.00209 3.87574 0.438976 276.283 1139.61 7.39051 32.3305 8.64467e-05 0.000397605 0.000996735 0.00190353 0.00310189 0.00457645 0.00628849 0.00819185
0.000712 1.22861 0.143204 334.295 1048.53 1.66201 40.1275 0.0831743 0.160366 0.232233 0.29887 0.360407 0.416972 0.468797 0.516251
0.002278 1.78343 0.448335 176.205 1043.37 4.27361 17.308 0.167224 0.313671 0.441434 0.550483 0.641716 0.716714 0.777546 0.8264
0.00244 2.12439 0.45747 373.489 1023.97 5.54239 26.073 0.276665 0.469614 0.614784 0.722903 0.80175 0.858881 0.899818 0.929073
0.001237 0.92111 0.213883 172.194 1132.1 2.70889 38.4112 5.31181e-06 3.28417e-05 0.000100555 0.000223513 0.000409582 0.00066379 0.000984714 0.00136894
0.001306 0.798428 0.321335 353.929 1085.64 1.80525 41.7854 0.000931929 0.00255667 0.00468516 0.00711731 0.00976886 0.012593 0.0155341 0.0185249
0.002057 2.84994 0.15174 411.372 1084.05 4.79618 48.1117 2.57696e-09 1.4759e-08 4.22756e-08 8.75457e-08 1.50176e-07 2.26648e-07 3.14458e-07 4.09957e-07
0.00062 0.542211 0.272588 419.577 1043.07 0.864606 42.0019 0.127756 0.227986 0.313724 0.388307 0.45364 0.511139 0.5619 0.606809
0.001702 3.45958 0.411626 195.888 1019.9 4.67564 13.4008 0.315973 0.55858 0.725148 0.833739 0.901965 0.943572 0.968212 0.982419
